model,AUC,logloss,brier,ECE,BSS,cAUC,REL,RES,UNC,sharp,cal_slope,cal_intercept,adaptECE,KScal
logreg/A,0.8465352794550847,0.4675237465878329,0.15791459752267686,0.01923907865128929,0.3607312020080218,0.5866507041947253,0.0005681843749492833,0.08883108177403762,0.24702378407753672,0.3029204882506837,0.987047311247596,-0.0010735103831251188,0.01881491516828742,0.007236436993851511
logreg/E,0.8492818937038762,0.4605319026546137,0.15637327657967137,0.01570065592213976,0.36697076695016395,0.5895220773086818,0.0004132016348595868,0.09014709050292186,0.24702378407753672,0.3070336907162688,0.9703106678943957,-0.0010992113438334733,0.017080523724362053,0.00708176467103898
logreg/EFB2,0.8515008288079207,0.45589631900878397,0.1551526486448571,0.015912037848228464,0.37191210464107693,0.5962640667785447,0.0004575273516815171,0.09153005697658881,0.24702378407753672,0.3098864945963302,0.9603696755319002,-0.001749413294175611,0.01673774580232472,0.007202148854959998
xgb/A,0.8442530057885202,0.46868637016276404,0.15881990347219824,0.018141705337718302,0.35706634863002795,0.5800925569838005,0.000530141473117754,0.08818876267392031,0.24702378407753672,0.3060898889881902,0.9470995046960029,-0.006100760113407433,0.016887003350930557,0.008371810992945903
xgb/EFB2,0.8498081693918487,0.45694786988513375,0.15551478651135328,0.012902461891737538,0.37044610059677596,0.5906177491597038,0.00033052658156720947,0.09103604204419258,0.24702378407753672,0.30754702474448226,0.9716595651299438,-0.0009771723558577874,0.013442330405445587,0.005893340503386813
lgbm/EFB2,0.8498412609412567,0.4572189707098877,0.15553569089175953,0.011783302751393705,0.3703614756264141,0.5927994084572497,0.0002699662059548032,0.09107917623783066,0.24702378407753672,0.3071639924661339,0.972397004134379,0.0007264949963546167,0.011014197769836354,0.005493375075839305
catboost/EFB2,0.8482539209778934,0.4607379087693247,0.15640073443048064,0.017657603162833234,0.3668596122655582,0.585829989192969,0.0004286441085802757,0.09009340278927555,0.24702378407753672,0.30368247943853105,1.0012295348490092,-0.003975056974641594,0.016723857256102606,0.005825340870610745
rf/EFB2,0.844223626103586,0.4662588625158257,0.15817622013099872,0.013870595928758504,0.3596721031471618,0.5743051062912949,0.00035174991225686146,0.08846166274320094,0.24702378407753672,0.2995491378347767,0.9917554042143499,0.006334724197842547,0.014523127603101151,0.006147952314510107
transformer,0.8472521969080551,0.4612237215042114,0.15683981776237488,0.009074495009151163,0.3650821181123781,0.5677814634064586,0.0001905533293909876,0.08956115462054275,0.24702378407753672,0.3024071156978607,0.9912618398666382,0.03817812353372574,0.010830970599625652,0.007238111943656455
tcn,0.8489424909209075,0.45883554220199585,0.15601862967014313,0.011847530771880317,0.36840644615349494,0.5721594326455899,0.00016031239414364152,0.09034284256146423,0.24702378407753672,0.3095468580722809,0.9192097187042236,0.0017700678436085582,0.012099443001722096,0.006064623119344519
SOFT-VOTE(4),0.8531029972930493,0.4520474537312574,0.15374360321671068,0.008981513039938046,0.3776161927450149,0.5888777350282359,0.00012446547461777136,0.09261711287620367,0.24702378407753672,0.30387455836178323,1.0332419136631017,0.011899656688534856,0.008204033250330109,0.002759684517327403
