feature,coef_standardized,odds_ratio_per_sd,pillar
min_ct_dist_to_bomb,-0.777565895222508,0.45952317866699005,tactical
ct_health_total,0.7206151340942257,2.055697351324219,economy
ct_equipment_value,0.7098676286839533,2.0337220343661953,economy
t_equipment_value,-0.6678924757260197,0.5127881532515886,economy
t_players_alive,-0.570529778421594,0.5652259148728871,economy
bomb_plant_x,-0.5673105012797304,0.5670484658148826,tactical
t_health_total,-0.5605721910772883,0.5708823166090568,economy
ct_mid_control,-0.3657277404099802,0.6936916397034697,voronoi
bomb_plant_y,-0.34588969288318056,0.7075905350736121,tactical
bomb_planted,-0.30988868819533943,0.7335286020725984,economy
bomb_site,-0.28724320178894047,0.7503292252354947,tactical
control_deficit,0.27122138232553655,1.3115653956443427,voronoi
ct_voronoi_control_pct,0.271221382325535,1.3115653956443407,voronoi
t_economy_class,-0.26977572988116894,0.7635507167460787,economy
ct_players_alive,0.23725827808326758,1.2677685123154343,economy
t_b_site_players,-0.2262310268865759,0.7975338286231145,tactical
ct_economy_class,0.2073856768613283,1.2304570390881753,economy
ct_armor_total,0.1949020930068867,1.2151920048700073,economy
ct_banana_control,-0.15729209532802205,0.8544544402132518,voronoi
ct_ct_spawn_control,-0.15105274963055465,0.8598023432070201,voronoi
t_armor_total,-0.12529462865345425,0.8822369320097802,economy
t_banana_players,-0.11865843739413373,0.8881110945018381,tactical
t_awp_alive,0.11434482741661461,1.1211386575837483,tactical
ct_defuse_kits,-0.09379900238490779,0.9104657452939995,economy
time_elapsed_sec,0.09294468067459878,1.0974010261044438,economy
t_a_site_players,-0.08792869208899383,0.9158261800467201,tactical
n_ct_near_bomb,-0.07761668030116539,0.9253190515919959,tactical
ct_awp_alive,-0.060652620673576275,0.9411501190915981,tactical
t_he,-0.06002946164579234,0.9417367880598568,tactical
ct_banana_players,0.05433984726467212,1.0558433666691425,tactical
t_terr_control,-0.052191033593564785,0.9491475304592037,territory
ct_terr_deficit,0.05040748373092092,1.0516995595345393,territory
ct_flashes,0.043684957747633424,1.0446531931463272,tactical
t_flashes,0.040649895913663345,1.0414874127099207,tactical
control_volatility,-0.03794533794894256,0.9627655661934186,voronoi
control_trend,-0.03626836813304789,0.9643814495027896,voronoi
ct_b_site_control,-0.035847382390545676,0.9647875258135351,voronoi
t_smokes,0.031202405601672215,1.031694303460942,tactical
ct_fire,0.03033520609808919,1.0308000064961185,tactical
ct_positional_entropy,-0.028129596074909398,0.9722623572509698,tactical
score_diff,-0.026121759391505,0.9742164623832525,economy
ct_smokes,-0.02446065007220352,0.9758360872424909,tactical
t_positional_entropy,-0.01832257821323876,0.9818442597020954,tactical
ct_mid_players,0.01808822980643141,1.018252812675177,tactical
t_awp_zone,-0.01752484126355163,0.9826278256450965,tactical
ct_terr_control,0.016796936318977277,1.0169387980214566,territory
terr_contested_pct,0.016246668320882517,1.0163793630785738,territory
ct_ct_spawn_players,-0.015541276460663256,0.9845788659821536,tactical
min_ct_path_to_bomb,-0.014385030217605952,0.9857179399950602,tactical
ct_score,-0.01431500781240429,0.9857869647526807,economy
ct_util_total,0.014157140865672189,1.0142578277695569,tactical
t_mid_players,-0.013483974966313872,0.9866065265938758,tactical
t_fire,-0.01287005942850798,0.9872124056305005,tactical
t_score,0.012012399089116685,1.0120848377183769,economy
ct_b_site_players,0.011597119549159514,1.0116646268510985,tactical
bomb_carrier_zone,0.011111444513812083,1.0111734058942263,tactical
terr_grey_pct,0.010041127225731883,1.010091708499626,territory
t_ct_spawn_players,-0.009569863926996602,0.9904757814979133,tactical
t_util_total,0.008956974348719088,1.008997208077905,tactical
ct_he,-0.00835909498403764,0.9916757451056467,tactical
ct_awp_zone,0.0054648821926112055,1.0054798418998987,tactical
utility_advantage,0.0050342397004527265,1.00504693277619,tactical
ct_a_site_control,0.004893569392225302,1.0049055624579095,voronoi
ct_a_site_players,0.004573539194686304,1.0045840137876347,tactical
round_num,-0.00041391974092604134,0.9995861659120316,economy
