feature,pillar,logreg_mean_abs_shap,xgb_mean_abs_shap,lgbm_mean_abs_shap,catboost_mean_abs_shap
ct_equipment_value,economy,0.6373536275801798,0.4708424210548401,0.47839377115892195,0.5100681560721291
t_equipment_value,economy,0.5807536455203967,0.48151087760925293,0.4953373615816972,0.5069731267915886
ct_health_total,economy,0.6342685726446543,0.3358447849750519,0.36958829473547805,0.35797836868054367
ct_armor_total,economy,0.16287543095370896,0.2545718252658844,0.27799221402011365,0.3577423640145287
t_health_total,economy,0.48599330214481223,0.34506237506866455,0.37551267444987785,0.3484142790752866
t_players_alive,economy,0.47972364832069764,0.1836988925933838,0.17611900899107633,0.33594894996104363
min_ct_dist_to_bomb,tactical,0.9673313761982462,0.296708345413208,0.406357572669103,0.2853416427112461
t_armor_total,economy,0.10561976979207309,0.22872522473335266,0.244546525696362,0.25891966041669484
min_ct_path_to_bomb,tactical,0.09501983364853617,0.17922572791576385,0.20527903142315798,0.2172072743388172
ct_players_alive,economy,0.20661128145102683,0.117760069668293,0.09619394289157303,0.18002031052125408
ct_a_site_control,voronoi,0.010399062325800247,0.1130218505859375,0.1435389660572254,0.1149027798630011
ct_b_site_control,voronoi,0.023802219104389694,0.05205664038658142,0.07060146461804875,0.06729808454508382
t_he,tactical,0.04657923149139824,0.04860571399331093,0.05027443409445112,0.05328114835470591
ct_voronoi_control_pct,voronoi,0.19394941727111248,0.09177036583423615,0.06973014865847603,0.04622169371056576
t_score,economy,0.010103734646706953,0.055021971464157104,0.054430340996946595,0.04599258457978645
control_deficit,voronoi,0.193949417271112,0.008238802663981915,0.04139647280448589,0.045009431113996454
score_diff,economy,0.020456298778553973,0.0418027825653553,0.04201533263801855,0.04063171771972355
round_num,economy,0.00029317384545484484,0.030312554910779,0.020870413206232105,0.04016985493012733
utility_advantage,tactical,0.0028900321806466195,0.022564738988876343,0.02491534783155357,0.03848069157298425
ct_economy_class,economy,0.10235513162334504,0.004268274176865816,0.007758544857898273,0.03552178529484436
ct_score,economy,0.011768430386986347,0.039637673646211624,0.03695717248640093,0.03428163981825535
ct_mid_control,voronoi,0.2628571201110241,0.0234629288315773,0.0240519422978873,0.02865515247936715
bomb_carrier_zone,tactical,0.010850020030960307,0.023578191176056862,0.0190344447028813,0.0279156091822188
bomb_plant_x,tactical,0.3843309227236634,0.05102737247943878,0.0868701624957788,0.02754803054850164
t_b_site_players,tactical,0.1493217479205934,0.03179134055972099,0.03852229420785218,0.02440886359270549
time_elapsed_sec,economy,0.07999906023046319,0.02324986830353737,0.032732671038889695,0.023197278796495753
t_awp_alive,tactical,0.10357555207858304,0.018741736188530922,0.016829271087779287,0.02293176722998886
ct_positional_entropy,tactical,0.025152524115726715,0.005054069682955742,0.003848379255070246,0.021529724131412978
ct_terr_deficit,territory,0.03758169069785722,0.02124573290348053,0.019217856636691382,0.014745406126975632
ct_defuse_kits,economy,0.08261725653319292,0.00664686132222414,0.008801656889653928,0.013490601410780055
t_terr_control,territory,0.04155525919133603,0.006508863065391779,0.010189420706201758,0.009134042899782618
t_economy_class,economy,0.196976772200452,0.001904979464598,0.005783301767400068,0.006526941970005975
bomb_planted,economy,0.5954009592162176,0.0033450343180447817,0.005408759807588129,0.006423553782928207
control_volatility,voronoi,0.024276858346157528,0.0077391695231199265,0.007239918775829875,0.005818094627955219
t_fire,tactical,0.010077770558957692,0.015272053889930248,0.010156797723934581,0.0056461918200092385
ct_banana_control,voronoi,0.1381413711841661,0.004723349120467901,0.0018436391761853682,0.00494304859659332
bomb_plant_y,tactical,0.5783029540692491,0.015068123117089272,0.024096808023979188,0.004787976562958305
t_banana_players,tactical,0.095245765922415,0.006377567537128925,0.004127071250388161,0.00464505887083597
ct_fire,tactical,0.023914878374070653,0.0057031274773180485,0.014659249400543717,0.004228875604231204
ct_flashes,tactical,0.03633157790679765,0.007130138576030731,0.006909716723795365,0.004141637906188141
t_awp_zone,tactical,0.012978846975164165,0.0028824748005717993,0.0031768798570608963,0.003266476127342348
t_util_total,tactical,0.007863141379390606,0.00048602186143398285,0.0028076108397770243,0.002768398917646741
bomb_site,tactical,0.46470899693365325,0.003879209980368614,0.000026642491657816842,0.0026489488973812847
t_mid_players,tactical,0.012734827160186958,0.002274444792419672,0.005203241665497647,0.002550455430794923
t_a_site_players,tactical,0.05160591038307867,0.0024335773196071386,0.0045456884297332845,0.0012536011081463467
ct_ct_spawn_control,voronoi,0.09667342490540214,0.00013818894512951374,0.0,0.0012522543252045464
ct_awp_alive,tactical,0.062355002553858674,0.0029493928886950016,0.0021636206393409385,0.0012150036567706369
ct_b_site_players,tactical,0.009754107526860638,0.002487359568476677,0.0014819358130887224,0.0011125159498885362
n_ct_near_bomb,tactical,0.04030886311319224,0.0,0.0,0.0009622995174400172
ct_util_total,tactical,0.011284903079752762,0.002695218427106738,0.004103664915787444,0.0008068744566472418
t_smokes,tactical,0.02805279098444343,0.0009944572811946273,0.0008190524410202124,0.0007003690287973134
ct_awp_zone,tactical,0.004661139072340849,0.00037879723822697997,0.000424376067884774,0.00047294559448806463
control_trend,voronoi,0.022047094585445477,0.0,0.00001530437283097367,0.0
t_positional_entropy,tactical,0.016358424794169192,0.00019495403103064746,0.0003817626198275231,0.0
ct_a_site_players,tactical,0.004388364354928007,0.0005566819454543293,0.001616221904161463,0.0
ct_banana_players,tactical,0.04328827352728628,0.003094687592238188,0.0015509082141640486,0.0
ct_mid_players,tactical,0.01245574035269086,0.0,0.00012803653172493662,0.0
ct_ct_spawn_players,tactical,0.011425399506550915,0.00011340394848957658,0.000012883628672230268,0.0
t_ct_spawn_players,tactical,0.0029846736819630496,0.0,0.0,0.0
ct_smokes,tactical,0.021436193501237273,0.0048899888060987,0.0028713865093242907,0.0
ct_he,tactical,0.006692667994315305,0.00105337577406317,0.002335855772975337,0.0
t_flashes,tactical,0.034170025539321,0.00012747546134050936,0.0006429602824148195,0.0
ct_terr_control,territory,0.013842880368092074,0.0005373125313781202,0.0007617504093673203,0.0
terr_contested_pct,territory,0.013804154763615847,0.0014171015936881304,0.0024279260390898502,0.0
terr_grey_pct,territory,0.007365387075888583,0.0001723176392260939,0.00029320701981204965,0.0
